id,name_kr,name_en
19341159,신순범,Shin Sun-beom
19351167,박병효,Park Byeong-hyo
19111219,유경식,Yu Gyeong-sig
19261110,조종한,Cho Jong-han
19241163,안종천,Ahn Jong-ceon
19361160,조대환,Cho Dae-hwan
19121202,하기락,Ha Gi-rag
194322,윤인식,Yoon In-sig
192217,윤인식,Yoon In-sig
19201117,정헌조,Jeong Heon-jo
1918135,정헌조,Jeong Heon-jo
19271118,박귀수,Park Gwi-su
1923185,신도환,Shin Do-hwan
19321101,김목일,Kim Mog-il
1936116,박재홍,Park Jae-hong
1902125,박재홍,Park Jae-hong
19221180,박재홍,Park Jae-hong
19361161,황윤국,Hwang Yun-gug
1952135,송운학,Song Un-hag
19251154,정원용,Jeong Weon-yong
19281162,최순복,Choi Sun-bog
19561134,임태희,Lim Tae-hyi
1917182,문달식,Mun Dal-sig
19221117,김봉만,Kim Bong-man
19251155,손갑호,Son Gab-ho
19631118,권부익,Kwon Bu-ig
19351168,정문식,Jeong Mun-sig
1923125,김충섭,Kim Cung-seob
193318,최풍,Choi Pung
1949158,김엽,Kim Yeob
19551142,정송,Jeong Song
1939149,박종만,Park Jong-man
19651104,최영록,Choi Yeong-rog
19521145,신현국,Shin Hyeon-gug
19521146,석호익,Seog Ho-ig
19271119,정경택,Jeong Gyeong-taeg
1964197,김현권,Kim Hyeon-gweon
19581133,손석형,Son Seog-hyeong
1953172,홍영기,Hong Yeong-gi
19231199,홍영기,Hong Yeong-gi
19191121,홍영기,Hong Yeong-gi
1972112,하귀남,Ha Gwi-nam
19371156,이기한,Lee Gi-han
1964198,백상원,Baeg Sang-weon
19251156,박준무,Park Jun-mu
19161215,박희동,Park Hyi-dong
1896182,우홍구,U Hong-gu
1930119,김시효,Kim Si-hyo
1916153,곽태진,Gwag Tae-jin
1920168,이상조,Lee Sang-jo
19581134,최충웅,Choi Cung-ung
19401141,주정우,Ju Jeong-u
19051193,이형우,Lee Hyeong-u
19181180,김용식,Kim Yong-sig
1922175,이형우,Lee Hyeong-u
19251157,조성기,Cho Seong-gi
1968145,정영훈,Jeong Yeong-hun
19481133,권철현,Kwon Ceol-hyeon
1964199,최삼안,Choi Sam-an
19451100,진의장,Jin Yi-jang
194013,김일수,Kim Il-su
19621111,박민웅,Park Min-ung
1924148,김현규,Kim Hyeon-gyu
19641101,권문상,Kwon Mun-sang
1923135,김현규,Kim Hyeon-gyu
188814,이종협,Lee Jong-hyeob
19631123,김창호,Kim Cang-ho
1956123,김창호,Kim Cang-ho
193121,정막선,Jeong Mag-seon
